                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2797,                 1.5853,                 1.2237,                0.82871,                0.87056,                0.82468,                0.51775,                 1.2769,                 1.3486,                 1.3132,             0.00066516,             0.00066516,             0.00066516
                      2,                 1.2989,                0.94046,                 1.2489,                0.94775,                0.87348,                 0.9243,                0.59777,                 1.2673,                 1.0141,                 1.2935,              0.0012791,              0.0012791,              0.0012791
                      3,                 1.2838,                0.81963,                 1.2383,                0.94174,                0.87816,                0.93172,                0.58343,                  1.332,                0.93316,                 1.3342,              0.0018402,              0.0018402,              0.0018402
                      4,                 1.2683,                 0.7912,                 1.2304,                0.93614,                0.85862,                0.92668,                0.61649,                 1.2206,                 0.7684,                 1.2515,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.2455,                0.73758,                 1.2142,                0.93889,                0.90019,                0.94405,                0.62921,                 1.2271,                0.67975,                 1.2492,              0.0017624,              0.0017624,              0.0017624
                      6,                  1.224,                0.69752,                  1.197,                0.95798,                0.90019,                0.95086,                0.62405,                  1.245,                0.66507,                 1.2531,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.2174,                0.66643,                 1.1987,                0.95792,                0.91744,                0.96136,                0.65467,                 1.2023,                 0.5726,                  1.229,               0.001604,               0.001604,               0.001604
                      8,                 1.1872,                0.65482,                 1.1751,                0.95216,                0.91706,                0.95791,                0.64617,                 1.1838,                0.60246,                 1.2101,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.1862,                0.63991,                 1.1754,                0.96308,                  0.929,                0.96431,                0.65083,                  1.191,                0.54997,                  1.215,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.1675,                0.60865,                 1.1625,                0.97178,                0.93602,                0.96996,                0.66015,                 1.1727,                0.51594,                 1.2069,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.1528,                0.60259,                 1.1594,                0.96928,                 0.9433,                0.97082,                0.66475,                 1.1781,                0.51149,                 1.1958,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.1383,                0.58874,                 1.1457,                0.96099,                0.93514,                0.96378,                0.66968,                 1.1644,                0.51705,                  1.201,               0.001208,               0.001208,               0.001208
                     13,                 1.1432,                0.57761,                 1.1531,                0.97809,                0.94149,                0.97602,                0.66545,                 1.1637,                0.50776,                 1.1852,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.1415,                0.57678,                 1.1449,                0.97727,                0.94002,                0.97526,                0.67404,                 1.1318,                 0.4932,                 1.1658,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.1164,                0.55142,                 1.1312,                 0.9613,                0.94296,                0.97371,                0.67372,                 1.1322,                0.48534,                 1.1776,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.1062,                0.48886,                 1.1639,                0.97079,                0.94994,                0.97579,                0.68187,                 1.1288,                0.48278,                 1.1692,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.0956,                 0.4805,                 1.1565,                 0.9781,                 0.9447,                 0.9804,                0.68425,                 1.1356,                0.47882,                 1.1727,               0.000812,               0.000812,               0.000812
                     18,                 1.0827,                0.46345,                 1.1485,                0.97637,                0.94894,                0.97881,                 0.6958,                  1.105,                0.46432,                 1.1507,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.0718,                0.45879,                 1.1436,                0.97055,                0.95732,                0.98094,                0.70275,                 1.1036,                0.44569,                 1.1476,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.0599,                0.44766,                 1.1365,                0.97809,                0.94799,                0.98027,                0.70056,                 1.0898,                 0.4414,                 1.1385,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.0564,                0.43582,                 1.1284,                0.98107,                0.94986,                0.98113,                0.70475,                 1.0945,                0.43737,                 1.1386,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.0494,                 0.4271,                 1.1267,                0.98022,                 0.9522,                0.98192,                0.70531,                 1.0898,                0.41921,                 1.1348,               0.000416,               0.000416,               0.000416
                     23,                  1.037,                0.41591,                   1.12,                0.98513,                0.95314,                0.98349,                0.71011,                 1.0816,                 0.4215,                 1.1288,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.0265,                 0.4071,                 1.1178,                0.98737,                0.95282,                0.98425,                0.71248,                 1.0787,                0.40499,                 1.1269,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.0168,                0.39588,                 1.1063,                0.98496,                0.95165,                 0.9842,                0.71264,                 1.0783,                0.39913,                 1.1267,              0.0001784,              0.0001784,              0.0001784
