                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9967,                  1.686,                  1.308,                0.65423,                  0.744,                0.71351,                0.35038,                 1.8076,                 1.1701,                 1.2789,             0.00041016,             0.00041016,             0.00041016
                      2,                 1.8138,                 1.0554,                 1.2211,                0.74483,                0.74237,                0.76044,                0.38684,                 1.8161,                 1.0013,                 1.2932,             0.00079408,             0.00079408,             0.00079408
                      3,                 1.7886,                0.99104,                 1.2128,                0.82295,                0.80351,                0.85104,                0.43476,                 1.7957,                0.91333,                 1.2756,               0.001145,               0.001145,               0.001145
                      4,                 1.7784,                0.93957,                    1.2,                0.80866,                0.77141,                0.85195,                0.44891,                 1.7448,                0.95052,                 1.2585,              0.0011015,              0.0011015,              0.0011015
                      5,                 1.7562,                0.90272,                 1.1878,                0.83762,                0.84254,                 0.8871,                0.45786,                 1.8183,                0.87323,                 1.2834,              0.0011015,              0.0011015,              0.0011015
                      6,                 1.7307,                 0.8947,                  1.181,                0.83075,                0.86922,                0.90281,                0.48722,                 1.7436,                0.82884,                  1.237,               0.001052,               0.001052,               0.001052
                      7,                 1.7263,                0.86541,                 1.1725,                0.82107,                0.87474,                0.89946,                0.46746,                 1.8343,                0.85258,                 1.2913,              0.0010025,              0.0010025,              0.0010025
                      8,                 1.7226,                0.84633,                 1.1793,                0.78663,                0.88853,                0.88806,                0.45678,                 1.7889,                0.86691,                 1.2631,               0.000953,               0.000953,               0.000953
                      9,                 1.7031,                0.83903,                 1.1616,                0.84711,                0.88734,                0.91576,                  0.505,                 1.7186,                0.80879,                 1.2254,              0.0009035,              0.0009035,              0.0009035
                     10,                 1.6896,                0.81893,                 1.1702,                0.85191,                0.91019,                0.91847,                0.49556,                 1.7718,                0.83715,                 1.2751,               0.000854,               0.000854,               0.000854
                     11,                 1.7059,                0.82176,                 1.1675,                0.84363,                0.89554,                0.90241,                0.49851,                 1.7111,                0.79056,                 1.2187,              0.0008045,              0.0008045,              0.0008045
                     12,                 1.6834,                 0.7928,                  1.159,                0.87247,                0.89356,                0.92427,                0.51319,                 1.7193,                0.76454,                 1.2288,               0.000755,               0.000755,               0.000755
                     13,                 1.6528,                0.78121,                 1.1441,                0.86786,                0.90571,                0.91925,                0.50164,                 1.6969,                 0.7857,                 1.2128,              0.0007055,              0.0007055,              0.0007055
                     14,                 1.6574,                0.77082,                 1.1449,                0.86763,                0.89262,                0.91717,                0.50877,                 1.6955,                0.78472,                  1.214,               0.000656,               0.000656,               0.000656
                     15,                 1.6491,                0.76849,                 1.1442,                 0.8756,                0.87924,                0.92436,                0.51804,                 1.7066,                0.75638,                 1.2225,              0.0006065,              0.0006065,              0.0006065
                     16,                 1.6751,                 0.7526,                 1.1939,                0.85788,                 0.9086,                0.91898,                0.50289,                 1.7292,                0.77341,                 1.2245,               0.000557,               0.000557,               0.000557
                     17,                 1.6691,                0.74348,                 1.1888,                0.86932,                0.91576,                0.92885,                0.51957,                  1.721,                0.75879,                 1.2198,              0.0005075,              0.0005075,              0.0005075
                     18,                 1.6595,                0.73302,                 1.1873,                0.85232,                0.92591,                0.93027,                0.51445,                 1.7136,                0.74722,                 1.2182,               0.000458,               0.000458,               0.000458
                     19,                 1.6454,                0.72138,                 1.1793,                0.85687,                0.92422,                0.93465,                0.51874,                 1.7078,                0.74151,                 1.2175,              0.0004085,              0.0004085,              0.0004085
                     20,                  1.636,                0.71126,                  1.181,                0.88957,                0.91052,                  0.933,                0.52255,                 1.6821,                0.73107,                 1.2033,               0.000359,               0.000359,               0.000359
                     21,                 1.6271,                0.70533,                 1.1724,                0.88841,                0.90266,                0.93936,                0.52571,                 1.6812,                0.72823,                  1.202,              0.0003095,              0.0003095,              0.0003095
                     22,                 1.6076,                0.69429,                 1.1671,                0.87514,                0.90987,                0.93489,                0.53262,                 1.6927,                0.72251,                   1.21,                0.00026,                0.00026,                0.00026
                     23,                 1.5976,                0.68563,                 1.1676,                0.87746,                0.92157,                 0.9401,                0.53141,                 1.6931,                0.71046,                 1.2086,              0.0002105,              0.0002105,              0.0002105
                     24,                  1.586,                0.67749,                 1.1593,                0.86951,                  0.923,                0.93438,                0.53114,                 1.7143,                 0.7171,                 1.2174,               0.000161,               0.000161,               0.000161
                     25,                 1.5782,                0.66882,                 1.1496,                0.87805,                0.92247,                0.93715,                0.53607,                 1.6835,                0.70736,                 1.2033,              0.0001115,              0.0001115,              0.0001115
